Name,Team,Wins,Losses,Possessions,FGP,EFGP,2PP,3PP,FreeThrowsMade,FreeThrowsAttempted,FTP,OffensiveRebounds,DefensiveRebounds,Rebounds,ORP,DRP,TRP,Assists,Steals,BlockedShots,Turnovers,PF,Points,TrueShootingAttempts,TSP,AP,SP,BP,TOP,URP
Golden State Warriors,GS,1.0,0.0,80.0,38.3,47.2,37.9,38.8,15.5,22.5,53.5,4.2,27.9,33.3,,,,21.7,11.6,1.2,11.6,14.7,97.6,77.3,48.8,,,,,
Golden State Warriors,GS,0.0,1.0,74.7,34.4,39.6,41.0,25.8,10.8,16.3,51.7,6.6,26.4,34.9,,,,20.2,3.6,1.2,7.2,14.0,82.9,76.9,41.8,,,,,
Golden State Warriors,GS,1.0,0.0,76.4,37.9,45.5,38.1,37.7,5.4,7.2,58.1,6.6,31.0,39.5,,,,23.2,6.0,4.8,13.2,22.5,91.4,75.4,46.9,,,,,
Golden State Warriors,GS,0.0,1.0,73.4,32.5,38.8,37.0,27.1,6.0,10.8,55.3,11.6,27.9,39.5,,,,19.4,4.2,3.0,17.0,10.1,74.4,71.4,40.5,,,,,
Golden State Warriors,GS,1.0,0.0,75.7,34.3,41.5,35.4,32.9,7.2,17.0,42.2,6.6,24.8,33.3,,,,19.4,14.7,1.2,12.4,20.9,81.4,74.2,42.6,,,,,
Golden State Warriors,GS,1.0,0.0,75.0,41.8,47.2,54.2,25.1,7.2,12.4,58.1,6.6,28.7,37.2,,,,24.0,4.8,3.0,11.6,14.7,91.4,72.9,48.7,,,,,
Golden State Warriors,GS,1.0,0.0,77.6,40.7,48.4,49.8,30.6,13.2,18.6,54.9,2.4,28.7,31.8,,,,24.8,4.2,3.0,12.4,16.3,89.9,70.2,49.7,,,,,
Golden State Warriors,GS,1.0,0.0,74.4,38.3,49.1,38.8,37.9,14.7,18.6,61.4,4.8,30.2,36.4,,,,24.0,3.0,4.2,12.4,14.0,92.2,69.4,51.5,,,,,
Golden State Warriors,GS,1.0,0.0,70.2,36.8,42.6,40.3,31.0,13.2,16.3,62.8,10.8,26.4,37.2,,,,17.0,4.8,2.4,14.0,17.8,81.4,69.2,45.7,,,,,
Golden State Warriors,GS,1.0,0.0,69.3,38.3,44.8,50.4,27.0,4.2,4.8,67.8,3.0,22.5,26.4,,,,27.9,7.2,1.2,6.6,13.2,80.6,67.1,46.6,,,,,
Golden State Warriors,GS,1.0,0.0,78.1,40.2,47.1,55.6,25.2,17.0,21.7,60.9,5.4,34.1,41.1,,,,19.4,2.4,4.8,16.3,20.9,90.7,70.8,49.5,,,,,
